,z,x,y,class_code
0,141.0,534.5253601074219,174.06675720214844,0
1,141.0,544.2007751464844,207.65963745117188,0
2,141.0,538.7692260742189,235.1174468994141,0
3,261.0,312.5,724.4666595458984,0
4,261.0,359.5,740.4666595458984,0
5,261.0,366.5,709.4666595458984,0
6,261.0,424.5,741.4666595458984,0
7,261.0,310.5,798.4666748046875,0
8,261.0,335.5,804.4666748046875,0
9,261.0,335.5,826.4666748046875,0
10,261.0,446.5,617.4666595458983,0
11,261.0,461.5,659.4666595458983,0
12,261.0,516.5,720.4666595458984,0
13,261.0,478.5,726.4666595458984,0
14,261.0,479.5,696.4666595458984,0
15,261.0,472.5,602.4666595458983,0
16,261.0,504.5,609.4666595458983,0
17,261.0,498.5,673.4666595458983,0
18,261.0,560.5,735.4666595458984,0
19,261.0,516.5,656.4666595458983,0
20,261.0,450.5,540.4666595458983,0
21,261.0,543.5,546.4666595458983,0
22,240.0,419.296875,85.5,0
23,240.0,311.296875,142.5,0
24,240.0,292.296875,243.5,0
25,240.0,513.296875,251.5,0
26,240.0,484.296875,204.5,0
27,207.0,744.6004028320312,938.1183166503906,0
28,207.0,731.8458251953125,889.2257080078125,0
29,207.0,788.7100219726562,868.4994964599609,0
30,207.0,771.1724548339844,834.4872894287109,0
31,207.0,686.1419067382812,827.5785522460938,0
32,207.0,712.4340515136719,783.1689453125,0
33,207.0,743.7890625,785.2947082519531,0
34,207.0,729.4401550292969,760.8484268188478,0
35,207.0,692.2392883300781,711.4244155883789,0
36,207.0,670.9816589355469,683.7894821166992,0
37,207.0,656.6327514648438,673.6921081542969,0
38,207.0,795.3388366699219,710.3615341186522,0
39,207.0,681.2048034667969,654.7327117919923,0
40,207.0,800.2332000732422,735.0654525756836,0
41,207.0,815.1135406494141,685.6414413452147,0
42,207.0,839.5598297119141,662.7894821166992,0
43,207.0,860.2859954833984,740.9112930297853,0
44,207.0,881.0121917724609,752.0715560913086,0
45,207.0,879.9493255615234,714.8707046508789,0
46,207.0,898.0183258056641,721.779426574707,0
47,207.0,909.7100219726562,687.767204284668,0
48,207.0,908.11572265625,785.0209045410156,0
49,207.0,809.2676849365234,802.4873046875,0
50,207.0,857.0973663330078,804.6130676269531,0
51,207.0,904.3956298828124,826.4021453857422,0
52,207.0,848.5943450927734,889.1121826171875,0
53,207.0,888.4524078369141,881.6720123291016,0
54,207.0,890.9432067871094,929.1060791015624,0
55,207.0,928.144073486328,914.2257080078124,0
56,207.0,921.7667846679688,940.2663269042968,0
57,207.0,930.0,716.4666595458984,0
